WKT,
"POLYGON ((-740303.289392479 -1056841.40264267,-740401.176359889 -1057459.43663142,-740685.25540373 -1058016.97314726,-741127.718887895 -1058459.43663142,-741685.25540373 -1058743.51567526,-742303.289392479 -1058841.40264267,-742921.323381229 -1058743.51567526,-743478.859897064 -1058459.43663142,-743921.323381229 -1058016.97314726,-744205.40242507 -1057459.43663142,-744303.289392479 -1056841.40264267,-744205.40242507 -1056223.36865392,-743921.323381229 -1055665.83213809,-743478.859897064 -1055223.36865392,-742921.323381229 -1054939.28961008,-742303.289392479 -1054841.40264267,-741685.25540373 -1054939.28961008,-741127.718887895 -1055223.36865392,-740685.25540373 -1055665.83213809,-740401.176359889 -1056223.36865392,-740303.289392479 -1056841.40264267))"
"POLYGON ((-738116.055804804 -1056115.14827702,-738213.942772213 -1056733.18226577,-738498.021816054 -1057290.71878161,-738940.485300219 -1057733.18226577,-739498.021816054 -1058017.26130961,-740116.055804804 -1058115.14827702,-740734.089793553 -1058017.26130961,-741291.626309389 -1057733.18226577,-741734.089793553 -1057290.71878161,-742018.168837394 -1056733.18226577,-742116.055804804 -1056115.14827702,-742018.168837394 -1055497.11428827,-741734.089793554 -1054939.57777244,-741291.626309389 -1054497.11428827,-740734.089793554 -1054213.03524443,-740116.055804804 -1054115.14827702,-739498.021816054 -1054213.03524443,-738940.485300219 -1054497.11428827,-738498.021816054 -1054939.57777244,-738213.942772213 -1055497.11428827,-738116.055804804 -1056115.14827702))"
"POLYGON ((-737330.96474234 -1051982.88186024,-737428.851709749 -1052600.91584899,-737712.93075359 -1053158.45236482,-738155.394237755 -1053600.91584899,-738712.93075359 -1053884.99489283,-739330.96474234 -1053982.88186024,-739948.998731089 -1053884.99489283,-740506.535246924 -1053600.91584899,-740948.998731089 -1053158.45236482,-741233.07777493 -1052600.91584899,-741330.96474234 -1051982.88186024,-741233.07777493 -1051364.84787149,-740948.99873109 -1050807.31135565,-740506.535246924 -1050364.84787149,-739948.99873109 -1050080.76882765,-739330.96474234 -1049982.88186024,-738712.93075359 -1050080.76882765,-738155.394237755 -1050364.84787149,-737712.93075359 -1050807.31135565,-737428.851709749 -1051364.84787149,-737330.96474234 -1051982.88186024))"
"POLYGON ((-738072.346807377 -1048450.64722461,-738170.233774786 -1049068.68121336,-738454.312818627 -1049626.21772919,-738896.776302792 -1050068.68121336,-739454.312818627 -1050352.7602572,-740072.346807377 -1050450.64722461,-740690.380796127 -1050352.7602572,-741247.917311962 -1050068.68121336,-741690.380796127 -1049626.21772919,-741974.459839967 -1049068.68121336,-742072.346807377 -1048450.64722461,-741974.459839967 -1047832.61323586,-741690.380796127 -1047275.07672002,-741247.917311962 -1046832.61323586,-740690.380796127 -1046548.53419202,-740072.346807377 -1046450.64722461,-739454.312818627 -1046548.53419202,-738896.776302792 -1046832.61323586,-738454.312818627 -1047275.07672002,-738170.233774787 -1047832.61323586,-738072.346807377 -1048450.64722461))"
"POLYGON ((-736829.957857531 -1049304.6236281,-736927.84482494 -1049922.65761685,-737211.923868781 -1050480.19413269,-737654.387352946 -1050922.65761685,-738211.923868781 -1051206.73666069,-738829.957857531 -1051304.6236281,-739447.991846281 -1051206.73666069,-740005.528362116 -1050922.65761685,-740447.991846281 -1050480.19413269,-740732.070890121 -1049922.65761685,-740829.957857531 -1049304.6236281,-740732.070890121 -1048686.58963935,-740447.991846281 -1048129.05312352,-740005.528362116 -1047686.58963935,-739447.991846281 -1047402.51059551,-738829.957857531 -1047304.6236281,-738211.923868781 -1047402.51059551,-737654.387352946 -1047686.58963935,-737211.923868781 -1048129.05312352,-736927.844824941 -1048686.58963935,-736829.957857531 -1049304.6236281))"
"POLYGON ((-740254.072079406 -1042559.69533801,-740351.959046816 -1043177.72932676,-740636.038090656 -1043735.26584259,-741078.501574821 -1044177.72932676,-741636.038090656 -1044461.8083706,-742254.072079406 -1044559.69533801,-742872.106068156 -1044461.8083706,-743429.642583991 -1044177.72932676,-743872.106068156 -1043735.26584259,-744156.185111996 -1043177.72932676,-744254.072079406 -1042559.69533801,-744156.185111996 -1041941.66134926,-743872.106068156 -1041384.12483342,-743429.642583991 -1040941.66134926,-742872.106068156 -1040657.58230542,-742254.072079406 -1040559.69533801,-741636.038090656 -1040657.58230542,-741078.501574821 -1040941.66134926,-740636.038090656 -1041384.12483342,-740351.959046816 -1041941.66134926,-740254.072079406 -1042559.69533801))"
"POLYGON ((-722953.692177105 -1044524.7022161,-723051.579144515 -1045142.73620485,-723335.658188355 -1045700.27272069,-723778.12167252 -1046142.73620485,-724335.658188355 -1046426.81524869,-724953.692177105 -1046524.7022161,-725571.726165855 -1046426.81524869,-726129.26268169 -1046142.73620485,-726571.726165855 -1045700.27272069,-726855.805209695 -1045142.73620485,-726953.692177105 -1044524.7022161,-726855.805209695 -1043906.66822735,-726571.726165855 -1043349.13171152,-726129.26268169 -1042906.66822735,-725571.726165855 -1042622.58918351,-724953.692177105 -1042524.7022161,-724335.658188355 -1042622.58918351,-723778.12167252 -1042906.66822735,-723335.658188355 -1043349.13171152,-723051.579144515 -1043906.66822735,-722953.692177105 -1044524.7022161))"
"POLYGON ((-735490.892745499 -1036926.09253496,-735588.779712909 -1037544.12652371,-735872.858756749 -1038101.66303955,-736315.322240914 -1038544.12652371,-736872.858756749 -1038828.20556755,-737490.892745499 -1038926.09253496,-738108.926734249 -1038828.20556755,-738666.463250084 -1038544.12652371,-739108.926734249 -1038101.66303955,-739393.005778089 -1037544.12652371,-739490.892745499 -1036926.09253496,-739393.005778089 -1036308.05854621,-739108.926734249 -1035750.52203038,-738666.463250084 -1035308.05854621,-738108.926734249 -1035023.97950237,-737490.892745499 -1034926.09253496,-736872.858756749 -1035023.97950237,-736315.322240914 -1035308.05854621,-735872.858756749 -1035750.52203038,-735588.779712909 -1036308.05854621,-735490.892745499 -1036926.09253496))"
"POLYGON ((-735056.851156308 -1035090.63427558,-735154.738123718 -1035708.66826433,-735438.817167559 -1036266.20478016,-735881.280651724 -1036708.66826433,-736438.817167559 -1036992.74730817,-737056.851156308 -1037090.63427558,-737674.885145058 -1036992.74730817,-738232.421660893 -1036708.66826433,-738674.885145058 -1036266.20478016,-738958.964188899 -1035708.66826433,-739056.851156308 -1035090.63427558,-738958.964188899 -1034472.60028683,-738674.885145058 -1033915.06377099,-738232.421660893 -1033472.60028683,-737674.885145058 -1033188.52124299,-737056.851156308 -1033090.63427558,-736438.817167559 -1033188.52124299,-735881.280651724 -1033472.60028683,-735438.817167559 -1033915.06377099,-735154.738123718 -1034472.60028683,-735056.851156308 -1035090.63427558))"
"POLYGON ((-731071.783794559 -1039298.4997036,-731169.670761969 -1039916.53369235,-731453.74980581 -1040474.07020819,-731896.213289974 -1040916.53369235,-732453.74980581 -1041200.61273619,-733071.783794559 -1041298.4997036,-733689.817783309 -1041200.61273619,-734247.354299144 -1040916.53369235,-734689.817783309 -1040474.07020819,-734973.89682715 -1039916.53369235,-735071.783794559 -1039298.4997036,-734973.89682715 -1038680.46571485,-734689.817783309 -1038122.92919902,-734247.354299144 -1037680.46571485,-733689.817783309 -1037396.38667101,-733071.783794559 -1037298.4997036,-732453.74980581 -1037396.38667101,-731896.213289974 -1037680.46571485,-731453.74980581 -1038122.92919902,-731169.670761969 -1038680.46571485,-731071.783794559 -1039298.4997036))"
