WKT,
"MULTIPOLYGON (((-722795.779151462 -1140120.59393206,-722795.779151462 -1160120.59393206,-742795.779151462 -1160120.59393206,-742795.779151462 -1140120.59393206,-722795.779151462 -1140120.59393206)))"
"MULTIPOLYGON (((-609954.23986649 -1192342.65230643,-609954.23986649 -1212342.65230643,-629954.23986649 -1212342.65230643,-629954.23986649 -1192342.65230643,-609954.23986649 -1192342.65230643)))"
"MULTIPOLYGON (((-582341.771595057 -1202168.59865529,-582341.771595057 -1222168.59865529,-602341.771595057 -1222168.59865529,-602341.771595057 -1202168.59865529,-582341.771595057 -1202168.59865529)))"
"MULTIPOLYGON (((-619770.586633386 -1160091.69864698,-619770.586633386 -1180091.69864698,-639770.586633386 -1180091.69864698,-639770.586633386 -1160091.69864698,-619770.586633386 -1160091.69864698)))"
"MULTIPOLYGON (((-746648.059221996 -1103260.21904931,-746648.059221996 -1123260.21904931,-766648.059221996 -1123260.21904931,-766648.059221996 -1103260.21904931,-746648.059221996 -1103260.21904931)))"
"MULTIPOLYGON (((-749069.82701144 -1050412.48466882,-749069.82701144 -1070412.48466882,-769069.82701144 -1070412.48466882,-769069.82701144 -1050412.48466882,-749069.82701144 -1050412.48466882)))"
"MULTIPOLYGON (((-735623.065687773 -1081273.13173464,-735623.065687773 -1101273.13173464,-755623.065687773 -1101273.13173464,-755623.065687773 -1081273.13173464,-735623.065687773 -1081273.13173464)))"
"MULTIPOLYGON (((-692911.550488959 -1113149.47453989,-692911.550488959 -1133149.47453989,-712911.550488959 -1133149.47453989,-712911.550488959 -1113149.47453989,-692911.550488959 -1113149.47453989)))"
"MULTIPOLYGON (((-677060.069454477 -1075829.97453083,-677060.069454477 -1095829.97453083,-697060.069454477 -1095829.97453083,-697060.069454477 -1075829.97453083,-677060.069454477 -1075829.97453083)))"
"MULTIPOLYGON (((-732254.072079406 -1032559.69533801,-732254.072079406 -1052559.69533801,-752254.072079406 -1052559.69533801,-752254.072079406 -1032559.69533801,-732254.072079406 -1032559.69533801)))"
"MULTIPOLYGON (((-740649.825359848 -982867.129079648,-740649.825359848 -1002867.12907965,-760649.825359848 -1002867.12907965,-760649.825359848 -982867.129079648,-740649.825359848 -982867.129079648)))"
"MULTIPOLYGON (((-721519.763022569 -998691.660868537,-721519.763022569 -1018691.66086854,-741519.763022569 -1018691.66086854,-741519.763022569 -998691.660868537,-721519.763022569 -998691.660868537)))"
"MULTIPOLYGON (((-703124.486959462 -1028889.42570783,-703124.486959462 -1048889.42570783,-723124.486959462 -1048889.42570783,-723124.486959462 -1028889.42570783,-703124.486959462 -1028889.42570783)))"
"MULTIPOLYGON (((-678225.009993411 -1048407.7823904,-678225.009993411 -1068407.7823904,-698225.009993411 -1068407.7823904,-698225.009993411 -1048407.7823904,-678225.009993411 -1048407.7823904)))"
"MULTIPOLYGON (((-645525.86392899 -1116563.98749098,-645525.86392899 -1136563.98749098,-665525.86392899 -1136563.98749098,-665525.86392899 -1116563.98749098,-645525.86392899 -1116563.98749098)))"
"MULTIPOLYGON (((-639350.72966987 -1054737.00894772,-639350.72966987 -1074737.00894772,-659350.72966987 -1074737.00894772,-659350.72966987 -1054737.00894772,-639350.72966987 -1054737.00894772)))"
"MULTIPOLYGON (((-646176.902852129 -1023680.60176503,-646176.902852129 -1043680.60176503,-666176.902852129 -1043680.60176503,-666176.902852129 -1023680.60176503,-646176.902852129 -1023680.60176503)))"
"MULTIPOLYGON (((-520927.254056428 -1159722.10903016,-520927.254056428 -1179722.10903016,-540927.254056428 -1179722.10903016,-540927.254056428 -1159722.10903016,-520927.254056428 -1159722.10903016)))"
"MULTIPOLYGON (((-552386.076316829 -1147550.44494189,-552386.076316829 -1167550.44494189,-572386.076316829 -1167550.44494189,-572386.076316829 -1147550.44494189,-552386.076316829 -1147550.44494189)))"
"MULTIPOLYGON (((-543869.118766521 -1117271.63907101,-543869.118766521 -1137271.63907101,-563869.118766521 -1137271.63907101,-563869.118766521 -1117271.63907101,-543869.118766521 -1117271.63907101)))"
"MULTIPOLYGON (((-556802.511901242 -1083461.00797761,-556802.511901242 -1103461.00797761,-576802.511901242 -1103461.00797761,-576802.511901242 -1083461.00797761,-556802.511901242 -1083461.00797761)))"
