id,x,y,z
466,1084143.420,749040.127,297.235
467,1084105.179,749024.710,297.296
468,1084105.725,749030.342,297.537
469,1084102.014,749028.749,297.330
470,1084101.854,749022.464,296.940
471,1084100.723,749015.129,296.116
472,1084098.290,749014.799,296.099
473,1084099.640,749018.492,296.266
474,1084099.663,749023.797,297.157
475,1084092.693,749018.342,296.842
476,1084091.579,749015.560,296.185
477,1084096.321,749018.768,296.692
478,1084099.831,749027.405,297.465
479,1084096.082,749027.699,297.449
480,1084094.274,749026.357,297.438
481,1084091.681,749023.524,297.345
482,1084109.390,749049.696,297.804
483,1084111.746,749048.321,297.553
484,1084109.886,749045.328,297.630
485,1084109.394,749045.576,297.752
486,1084111.887,749041.899,297.476
487,1084113.073,749037.975,297.432
488,1084116.648,749032.865,297.043
489,1084125.835,749028.927,297.417
490,1084132.370,749023.845,297.016
491,1084132.770,749025.492,297.044
492,1084138.413,749024.387,297.059
493,1084139.203,749019.982,296.870
494,1084139.719,749020.168,296.862
495,1084142.645,749019.713,297.332
496,1084143.944,749020.197,296.988
497,1084145.440,749020.635,297.163
498,1084145.458,749021.007,297.157
499,1084146.747,749023.562,297.175
500,1084147.992,749023.990,297.053
501,1084147.688,749022.581,297.001
502,1084146.767,749022.008,296.874
503,1084147.323,749021.342,297.302
504,1084146.553,749020.178,296.760
505,1084147.766,749020.269,297.193
506,1084148.714,749021.760,297.160
507,1084143.915,749023.984,297.140
508,1084150.269,749026.842,296.988
509,1084141.819,749030.744,297.060
510,1084131.711,749033.466,297.007
511,1084121.236,749036.018,297.041
512,1084116.575,749047.283,297.420
513,1084129.380,749045.566,297.347
514,1084136.813,749044.255,297.319
515,1084104.146,749045.813,297.616
516,1084103.488,749039.457,297.433
517,1084106.652,749035.493,297.378
518,1084104.932,749031.000,297.403
519,1084098.705,749030.070,297.422
520,1084086.822,749028.419,297.493
521,1084078.416,749028.772,297.479
522,1084080.919,749025.264,297.347
523,1084088.589,749027.076,297.504
524,1084089.351,749027.606,297.688
525,1084091.669,749028.122,297.513
526,1084078.180,749029.298,297.476
527,1084088.094,749030.247,297.533
528,1084097.014,749034.120,297.484
529,1084099.948,749033.996,297.445
530,1084101.868,749036.495,297.381
531,1084102.704,749045.000,297.563
532,1084103.465,749052.736,297.640
533,1084100.898,749053.065,297.619
534,1084099.796,749045.613,297.550
535,1084096.523,749037.601,297.407
536,1084086.296,749032.534,297.396
537,1084078.631,749032.062,297.409
538,1084081.782,749038.272,297.127
539,1084081.806,749039.312,297.147
540,1084085.847,749038.282,297.134
541,1084085.850,749037.469,297.125
542,1084092.954,749037.632,297.264
543,1084092.963,749039.511,297.275
544,1084092.964,749046.840,297.327
545,1084087.992,749046.878,297.258
546,1084088.058,749056.965,297.374
547,1084081.734,749057.113,297.299
548,1084081.670,749058.296,297.318
549,1084092.434,749058.457,297.386
550,1084096.368,749057.774,297.450
551,1084096.334,749044.598,297.341
552,1084084.649,749043.006,297.233
553,1084082.030,749034.713,297.189
554,1084082.266,749052.923,297.300
601,1084142.425,748987.855,296.416
602,1084142.851,748989.234,295.172
603,1084129.346,748991.670,295.020
604,1084126.894,748994.258,294.574
605,1084147.737,748995.592,295.223
606,1084108.142,749002.360,294.599
607,1084107.811,749003.419,294.438
608,1084104.485,749003.110,294.401
609,1084104.105,749004.436,294.428
610,1084101.668,749005.700,294.134
611,1084100.994,749003.902,294.155
612,1084098.792,749003.696,294.179
613,1084099.036,749004.795,294.107
614,1084097.260,749006.014,294.076
615,1084096.697,749004.777,293.908
616,1084096.434,749003.630,294.258
617,1084094.050,749003.598,294.267
618,1084093.614,749005.288,294.229
619,1084093.906,749006.892,294.313
620,1084086.850,749009.189,294.450
621,1084086.371,749006.882,294.588
622,1084085.828,749004.813,294.385
623,1084081.913,749005.441,294.619
624,1084082.174,749007.590,294.538
625,1084082.351,749009.670,294.347
626,1084079.817,749009.992,294.316
627,1084078.985,749008.249,294.302
628,1084078.454,749006.474,294.609
