ID,X,Y,Z
3749,1090898.701,627763.1204,565.0100098
3750,1090904.495,627718.4838,568.9199829
3763,1090846.748,628124.5295,575.8699951
3764,1090862.198,628005.4984,575.1300049
3765,1090867.991,627960.8618,574.25
3766,1090868.635,627955.9021,574.1199951
3767,1090869.279,627950.9425,573.9000244
3768,1090890.523,627787.2748,564.539978
3785,1090828.913,628223.0784,576.460022
3786,1090832.775,628193.3206,576.0800171
3787,1090835.35,628173.4821,575.9899902
3788,1090845.007,628099.0876,575.7299805
3789,1090855.307,628019.7336,575.1799927
3790,1090863.032,627960.218,574.0900269
3791,1090868.826,627915.5814,571.75
3792,1090872.688,627885.8236,570.6599731
3793,1090876.551,627856.0658,567.7000122
3794,1090883.632,627801.5099,564.4199829
3795,1090886.207,627781.6714,564.5100098
3796,1090886.851,627776.7118,564.5
3797,1090899.726,627677.5193,573.710022
3809,1090820.091,628252.1924,576.3900147
3810,1090838.116,628113.3228,575.6400147
3811,1090839.403,628103.4035,575.5200195
3812,1090843.266,628073.6457,575.5200195
3813,1090846.485,628048.8476,575.4299927
3814,1090847.772,628038.9283,575.4099731
3815,1090848.416,628033.9687,575.289978
3816,1090851.635,628009.1705,574.9400024
3817,1090858.072,627959.5743,573.789978
3818,1090868.372,627880.2202,569.8400269
3819,1090878.672,627800.8662,564.210022
3820,1090881.891,627776.068,564.4099731
3821,1090885.11,627751.2699,566.4500122
3822,1090890.904,627706.6333,572.0900269
3823,1090901.848,627622.3196,575.7800293
3840,1090813.843,628261.4679,576.2399902
3841,1090814.487,628256.5083,576.1900024
3842,1090820.281,628211.8716,575.9799805
3843,1090823.5,628187.0735,575.5900269
3844,1090846.031,628013.4864,574.8499756
3845,1090846.675,628008.5268,574.7999878
3846,1090855.044,627944.0516,572.5499878
3847,1090859.55,627909.3342,570.7600098
3848,1090868.563,627839.8994,565.8800049
3849,1090869.207,627834.9398,565.5
3850,1090870.494,627825.0205,564.7000122
3851,1090881.438,627740.7069,569.6300049
3852,1090884.013,627720.8684,571.2999878
3853,1090885.301,627710.9491,572.1300049
3854,1090894.313,627641.5144,575.2700195
3855,1090895.601,627631.5951,575.5499878
3856,1090896.244,627626.6355,575.7199707
3873,1090815.321,628211.2279,575.7700195
3874,1090816.609,628201.3086,575.5900269
3875,1090831.415,628087.2371,574.960022
3876,1090836.565,628047.5601,574.9899902
3877,1090853.303,627918.6097,571.039978
3878,1090853.947,627913.6501,570.7000122
3879,1090875.835,627745.0227,569.2199707
3880,1090884.847,627675.588,574.9299927
3881,1090889.997,627635.911,575.539978
3882,1090892.572,627616.0725,576.1599731
3892,1090803.924,628260.1804,575.9500122
3893,1090804.568,628255.2208,575.9199829
3894,1090808.43,628225.463,575.8800049
3895,1090818.087,628151.0685,575.0499878
3896,1090820.662,628131.23,574.7800293
3897,1090823.237,628111.3915,574.9500122
3898,1090827.099,628081.6337,574.6500244
3899,1090828.387,628071.7145,574.9400024
3900,1090841.906,627967.5622,572.6900024
3901,1090853.493,627878.2889,568.460022
3902,1090855.425,627863.41,567.0100098
3903,1090858,627843.5715,565.3699951
3904,1090876.025,627704.702,573.4699707
3905,1090886.325,627625.348,576.0499878
3916,1090799.608,628254.577,575.8099976
3917,1090801.54,628239.6981,575.9899902
3918,1090806.69,628200.0211,575.2399902
3919,1090816.346,628125.6266,574.6400147
3920,1090822.14,628080.99,574.4799805
3921,1090838.234,627956.9992,572.0999756
3922,1090842.74,627922.2818,570.3400269
3923,1090854.971,627828.0489,564.3400269
3924,1090858.19,627803.2508,564.0599976
3925,1090868.49,627723.8967,572.9500122
3926,1090870.422,627709.0178,573.6500244
3927,1090872.353,627694.139,574.1099854
3941,1090808.811,628144.8214,574.6699829
3942,1090813.961,628105.1443,574.4899902
3943,1090827.48,628000.9921,574.0599976
3944,1090832.63,627961.3151,572.1099854
3945,1090852.587,627807.5666,563.7703857
3946,1090854.518,627792.6877,563.5499878
3960,1090787.758,628268.1684,575.4400024
3961,1090790.977,628243.3702,575.5999756
3962,1090794.195,628218.5721,575.25
3963,1090803.208,628149.1373,574.4699707
3964,1090807.07,628119.3795,574.25
3965,1090810.933,628089.6217,574.2199707
3966,1090822.521,628000.3484,573.9949951
3967,1090827.671,627960.6713,571.8599854
